Class,Mean,Kurtosis,Std,RMS,Variance,Skewness
DENT,153.6517711972276,-0.9751468972176287,60.177361769405124,10.913763952816806,3621.3148695258615,-0.8147167149510417
DENT,155.87078980428018,-0.8975038030155549,58.014588657587,10.880684910134102,3365.692497109022,-0.8273892722234104
DENT,159.99608985113295,-0.8997483778536988,55.24989684616768,10.705930580111007,3052.5511015121697,-0.8016753004716297
DENT,156.74546702786213,-0.8646589377648843,58.198145692543704,10.82373289516926,3387.0241620505435,-0.8743819720338635
DENT,158.96534852884963,-1.0429921427584736,56.706535371736905,10.800786888977434,3215.631153866049,-0.7693842258247451
DENT,149.94032029109772,-1.110471607358294,60.24138236425622,10.90143720039951,3629.0241491565203,-0.7372922707513626
DENT,156.89862240584318,-0.9911380588718308,58.388315362014104,10.79038347995063,3409.195370814012,-0.769351432591178
DENT,153.6517711972276,-0.9751468972176287,60.177361769405124,10.913763952816806,3621.3148695258615,-0.8147167149510417
DENT,162.36455435452015,-0.936297828690837,59.51075911162982,10.770431636370759,3541.530450042431,-0.8390749556191828
DENT,154.98893260965937,-1.0404323201531118,62.177849337365025,10.829469230259779,3866.0849482200642,-0.7865287570136452
DENT,163.61737788084798,-0.9920774656293951,56.69542859392617,10.626552348113671,3214.3716234489807,-0.7786158321700054
DENT,159.42873319007623,-0.7862828360672203,58.19932916273259,10.843715742318398,3387.1619149920957,-0.9073533398652024
DENT,158.18598350663106,-0.7031009354972979,58.64407509734773,10.774427472281758,3439.12754402336,-0.9328184475574266
DENT,156.92921797686296,-1.0066020830525337,60.606232436496676,10.763107928378334,3673.1154101466614,-0.7888193512804768
DENT,163.61737788084798,-0.9920774656293951,56.69542859392617,10.626552348113671,3214.3716234489807,-0.7786158321700054
DENT,154.80016597559938,-1.0481780049424734,60.206892757447356,10.849208127454377,3624.869935506767,-0.7529154828311548
DENT,154.0913888627121,-0.9750311021114246,59.04837920593558,10.911841024955562,3486.711086847966,-0.8094520162303313
DENT,156.89862240584318,-0.9911380588718308,58.388315362014104,10.79038347995063,3409.195370814012,-0.769351432591178
DENT,160.09752833397928,-0.6780299532396281,59.58109737471449,10.800300012115452,3549.90716437521,-0.9240613134877601
DENT,159.34218373386034,-1.0048360501155977,61.644214585459416,10.772961619392065,3800.0091918581675,-0.7902438255039963
DENT,150.81323074722866,-1.048308857610505,61.39251130312237,10.875283434119114,3769.0404441040077,-0.7670674480962967
DENT,151.75237656684683,-0.8884286071668797,60.756004112439605,10.919936797143475,3691.2920357107782,-0.8799715759742961
DENT,154.0913888627121,-0.9750311021114246,59.04837920593558,10.911841024955562,3486.711086847966,-0.8094520162303313
DENT,149.94032029109772,-1.110471607358294,60.24138236425622,10.90143720039951,3629.0241491565203,-0.7372922707513626
DENT,146.6112221504757,-1.2092551512373801,60.96742405846126,10.848667351845151,3717.026796324241,-0.6775512938561015
DENT,154.98893260965937,-1.0404323201531118,62.177849337365025,10.829469230259779,3866.0849482200642,-0.7865287570136452
DENT,165.46458285772687,-0.7316153517985833,56.21698539785832,10.6860453368954,3160.3494472230163,-0.8899526646293788
DENT,158.5576527128151,-0.927218904162062,58.029784346367336,10.814723346445195,3367.4558712858993,-0.8388316388245205
DENT,158.5576527128151,-0.927218904162062,58.029784346367336,10.814723346445195,3367.4558712858993,-0.8388316388245205
DENT,149.90634631031133,-1.1484023537890504,59.25711944343736,10.897379353917733,3511.4062047338025,-0.6920804162499438
DENT,155.87078980428018,-0.8975038030155549,58.014588657587,10.880684910134102,3365.692497109022,-0.8273892722234104
DENT,160.34087329976217,-0.902050973997278,58.860240154277584,10.734530110007832,3464.527871019231,-0.828246962601697
DENT,170.0544593748009,-1.1060845990274946,74.28852593743822,11.110035518234431,5518.785085957431,-0.8924782560230897
DENT,165.46458285772687,-0.7316153517985833,56.21698539785832,10.6860453368954,3160.3494472230163,-0.8899526646293788
DENT,162.36455435452015,-0.936297828690837,59.51075911162982,10.770431636370759,3541.530450042431,-0.8390749556191828
DENT,160.19209245059886,-0.6250723765276343,57.18202765657513,10.825797092266457,3269.784286917323,-0.9527892073765473
DENT,147.69419601379835,-1.1389937894633027,63.81339518202976,10.900947460226453,4072.149404657899,-0.7630043615234302
DENT,156.89862240584318,-0.9911380588718308,58.388315362014104,10.79038347995063,3409.195370814012,-0.769351432591178
DENT,160.34087329976217,-0.902050973997278,58.860240154277584,10.734530110007832,3464.527871019231,-0.828246962601697
DENT,158.5576527128151,-0.927218904162062,58.029784346367336,10.814723346445195,3367.4558712858993,-0.8388316388245205
DENT,152.59929543324876,-1.0487873068022227,63.36894703759657,10.93708831739944,4015.6234486537187,-0.7892049807426963
DENT,149.90634631031133,-1.1484023537890504,59.25711944343736,10.897379353917733,3511.4062047338025,-0.6920804162499438
DENT,149.90634631031133,-1.1484023537890504,59.25711944343736,10.897379353917733,3511.4062047338025,-0.6920804162499438
DENT,149.94032029109772,-1.110471607358294,60.24138236425622,10.90143720039951,3629.0241491565203,-0.7372922707513626
DENT,158.8797398609548,-0.9453204214772013,56.317692259851704,10.822653799265932,3171.6824614753605,-0.8054545181943082
DENT,149.94032029109772,-1.110471607358294,60.24138236425622,10.90143720039951,3629.0241491565203,-0.7372922707513626
DENT,152.0610808953524,-0.8921948709779164,59.34684510510748,10.902302082255716,3522.048023929619,-0.8902574541123777
DENT,150.81323074722866,-1.048308857610505,61.39251130312237,10.875283434119114,3769.0404441040077,-0.7670674480962967
DENT,158.0650739158827,-1.0094335520692337,62.059667088868316,10.792077010270466,3851.4022791811653,-0.7986233097206112
DENT,154.80016597559938,-1.0481780049424734,60.206892757447356,10.849208127454377,3624.869935506767,-0.7529154828311548
DENT,161.07946820117226,-0.8418368940527725,56.67545341878061,10.742424778174133,3212.107020224371,-0.8651788874803757
DENT,161.07946820117226,-0.8418368940527725,56.67545341878061,10.742424778174133,3212.107020224371,-0.8651788874803757
DENT,155.87078980428018,-0.8975038030155549,58.014588657587,10.880684910134102,3365.692497109022,-0.8273892722234104
